id_pais,ano,valor
127,1995,0.642
127,1996,0.639
127,1997,0.646
127,1998,0.646
127,1999,0.647
127,2000,0.655
127,2001,0.662
127,2002,0.671
127,2003,0.681
127,2004,0.691
127,2005,0.698
127,2006,0.706
127,2007,0.711
127,2008,0.718
127,2009,0.713
127,2010,0.716
127,2011,0.719
127,2012,0.722
127,2013,0.726
127,2014,0.749
127,2015,0.749
127,2016,0.755
127,2017,0.764
127,2018,0.767
127,2019,0.773
127,2020,0.765
127,2021,0.767
127,2022,0.763
129,1990,0.579
129,1991,0.575
129,1992,0.564
129,1993,0.55
129,1994,0.553
129,1995,0.558
129,1996,0.561
129,1997,0.569
129,1998,0.579
129,1999,0.587
129,2000,0.595
129,2001,0.606
129,2002,0.615
129,2003,0.629
129,2004,0.646
129,2005,0.658
129,2006,0.669
129,2007,0.68
129,2008,0.69
129,2009,0.694
129,2010,0.7
129,2011,0.71
129,2012,0.72
129,2013,0.73
129,2014,0.735
129,2015,0.739
129,2016,0.741
129,2017,0.742
129,2018,0.754
129,2019,0.749
129,2020,0.74
129,2021,0.73
129,2022,0.741
130,2003,0.749
130,2004,0.758
130,2005,0.761
130,2006,0.771
130,2007,0.783
130,2008,0.797
130,2009,0.798
130,2010,0.806
130,2011,0.811
130,2012,0.813
130,2013,0.819
130,2014,0.822
130,2015,0.827
130,2016,0.826
130,2017,0.833
130,2018,0.838
130,2019,0.841
130,2020,0.832
130,2021,0.84
130,2022,0.844
131,1990,0.448
131,1991,0.454
131,1992,0.459
131,1993,0.465
131,1994,0.477
131,1995,0.481
131,1996,0.493
131,1997,0.497
131,1998,0.505
131,1999,0.515
131,2000,0.525
131,2001,0.536
131,2002,0.547
131,2003,0.557
131,2004,0.564
131,2005,0.57
131,2006,0.576
131,2007,0.583
131,2008,0.59
131,2009,0.596
131,2010,0.604
131,2011,0.616
131,2012,0.626
131,2013,0.636
131,2014,0.645
131,2015,0.656
131,2016,0.662
131,2017,0.671
131,2018,0.677
131,2019,0.684
131,2020,0.683
131,2021,0.688
131,2022,0.698
132,1990,0.239
132,1991,0.242
132,1992,0.237
132,1993,0.243
132,1994,0.245
132,1995,0.248
132,1996,0.26
132,1997,0.272
132,1998,0.283
132,1999,0.296
132,2000,0.303
132,2001,0.317
132,2002,0.325
132,2003,0.339
132,2004,0.349
132,2005,0.359
132,2006,0.367
132,2007,0.38
132,2008,0.391
132,2009,0.4
132,2010,0.407
132,2011,0.412
132,2012,0.418
132,2013,0.432
132,2014,0.438
132,2015,0.445
132,2016,0.448
132,2017,0.45
132,2018,0.458
132,2019,0.465
132,2020,0.467
132,2021,0.459
132,2022,0.461
133,1990,0.333
133,1991,0.344
133,1992,0.356
133,1993,0.363
133,1994,0.369
133,1995,0.373
133,1996,0.38
133,1997,0.383
133,1998,0.39
133,1999,0.398
133,2000,0.407
133,2001,0.415
133,2002,0.425
133,2003,0.435
133,2004,0.445
133,2005,0.456
133,2006,0.466
133,2007,0.475
133,2008,0.461
133,2009,0.497
133,2010,0.506
133,2011,0.517
133,2012,0.526
133,2013,0.538
133,2014,0.548
133,2015,0.557
133,2016,0.567
133,2017,0.58
133,2018,0.595
133,2019,0.608
133,2020,0.615
133,2021,0.599
133,2022,0.608
134,1990,0.595
134,1991,0.6
134,1992,0.603
134,1993,0.601
134,1994,0.6
134,1995,0.593
134,1996,0.581
134,1997,0.572
134,1998,0.564
134,1999,0.553
134,2000,0.549
134,2001,0.544
134,2002,0.544
134,2003,0.547
134,2004,0.551
134,2005,0.553
134,2006,0.559
134,2007,0.567
134,2008,0.574
134,2009,0.579
134,2010,0.584
134,2011,0.59
134,2012,0.599
134,2013,0.61
134,2014,0.619
134,2015,0.627
134,2016,0.631
134,2017,0.634
134,2018,0.635
134,2019,0.638
134,2020,0.634
134,2021,0.616
134,2022,0.61
135,2005,0.527
135,2006,0.499
135,2007,0.506
135,2008,0.547
135,2009,0.545
135,2010,0.559
135,2011,0.572
135,2012,0.586
135,2013,0.597
135,2014,0.618
135,2015,0.642
135,2016,0.655
135,2017,0.664
135,2018,0.668
135,2019,0.68
135,2020,0.689
135,2021,0.693
135,2022,0.696
136,1990,0.395
136,1991,0.403
136,1992,0.411
136,1993,0.416
136,1994,0.423
136,1995,0.428
136,1996,0.437
136,1997,0.444
136,1998,0.449
136,1999,0.455
136,2000,0.461
136,2001,0.462
136,2002,0.469
136,2003,0.476
136,2004,0.484
136,2005,0.492
136,2006,0.503
136,2007,0.508
136,2008,0.518
136,2009,0.53
136,2010,0.543
136,2011,0.552
136,2012,0.557
136,2013,0.563
136,2014,0.567
136,2015,0.568
136,2016,0.574
136,2017,0.581
136,2018,0.588
136,2019,0.598
136,2020,0.593
136,2021,0.591
136,2022,0.601
137,1990,0.847
137,1991,0.852
137,1992,0.853
137,1993,0.855
137,1994,0.88
137,1995,0.878
137,1996,0.882
137,1997,0.883
137,1998,0.884
137,1999,0.886
137,2000,0.892
137,2001,0.893
137,2002,0.89
137,2003,0.893
137,2004,0.896
137,2005,0.899
137,2006,0.905
137,2007,0.911
137,2008,0.911
137,2009,0.912
137,2010,0.917
137,2011,0.927
137,2012,0.927
137,2013,0.929
137,2014,0.931
