id_unidade,cod_equipamento,nome_unidade,num_unidade,data_entrada_teste,data_entrada_operacao,data_desativacao,potencia_efetiva,combustivel,id_usina
4738,MGUFU20UG2,UG   16 MW UFPU PARACATU 2           2 MG,2.0,2018-11-17,2019-02-09,,16.0,FOTOVOLTAICA,1682
4739,MGUFU30UG2,UG   16 MW UFPU PARACATU 3           2 MG,2.0,2018-11-17,2019-01-09,,16.0,FOTOVOLTAICA,1683
4740,MGUFU30UG1,UG   17 MW UFPU PARACATU 3           1 MG,1.0,2018-11-17,2019-01-09,,17.0,FOTOVOLTAICA,1683
4741,MGUFU40UG1,UG   17 MW UFPU PARACATU 4           1 MG,1.0,2018-11-17,2019-01-09,,17.0,FOTOVOLTAICA,1684
4742,MGUFU40UG2,UG   16 MW UFPU PARACATU 4           2 MG,2.0,2018-11-17,2019-01-09,,16.0,FOTOVOLTAICA,1684
4743,MGUFPA0UG1,UG   31 MW UFV PIRAPORA 10           1 MG,1.0,2017-08-18,2017-09-26,,31.0,FOTOVOLTAICA,1685
4744,MGUFP20UG1,UG   31 MW UFV PIRAPORA 2            1 MG,1.0,2018-04-24,2018-05-18,,31.0,FOTOVOLTAICA,1686
4745,MGUFP30UG1,UG   31 MW UFV PIRAPORA 3            1 MG,1.0,2018-04-07,2018-05-04,,31.0,FOTOVOLTAICA,1687
4746,MGUFP40UG1,UG   31 MW UFV PIRAPORA 4            1 MG,1.0,2018-04-07,2018-05-04,,31.0,FOTOVOLTAICA,1688
4747,MGUFP50UG1,UG   31 MW UFV PIRAPORA 5            1 MG,1.0,2017-08-19,2017-09-26,,31.0,FOTOVOLTAICA,1689
4748,MGUFP60UG1,UG   31 MW UFV PIRAPORA 6            1 MG,1.0,2017-08-18,2017-10-06,,31.0,FOTOVOLTAICA,1690
4749,MGUFP70UG1,UG   31 MW UFV PIRAPORA 7            1 MG,1.0,2017-08-18,2017-09-26,,31.0,FOTOVOLTAICA,1691
4750,MGUFP90UG1,UG   31 MW UFV PIRAPORA 9            1 MG,1.0,2017-08-18,2017-09-26,,31.0,FOTOVOLTAICA,1692
4751,MGSF010UG03,UG 15P2 MW VST1_S FRANSC01         R03 MG,,2024-08-14,2024-10-09,,15.2152,FOTOVOLTAICA,1693
4752,MGSF010UG04,UG 17P3 MW VST1_S FRANSC01         R04 MG,,2024-08-14,2024-10-09,,17.3888,FOTOVOLTAICA,1693
4753,MGSF010UG05,UG 17P3 MW VST1_S FRANSC01         R05 MG,,2024-08-14,2024-10-09,,17.3888,FOTOVOLTAICA,1693
